date,year,month,day,supply
1/26/2006,2006,1,26,16690
1/27/2006,2006,1,27,16643
1/28/2006,2006,1,28,17143
1/29/2006,2006,1,29,16018
1/30/2006,2006,1,30,15314
1/31/2006,2006,1,31,16220
2/1/2006,2006,2,1,16625
2/2/2006,2006,2,2,17351
2/3/2006,2006,2,3,17623
2/4/2006,2006,2,4,16542
2/5/2006,2006,2,5,16173
2/6/2006,2006,2,6,17467
2/7/2006,2006,2,7,16921
2/8/2006,2006,2,8,16443
2/9/2006,2006,2,9,16531
2/10/2006,2006,2,10,16663
2/11/2006,2006,2,11,17146
2/12/2006,2006,2,12,17139
2/13/2006,2006,2,13,18150
2/14/2006,2006,2,14,17938
2/15/2006,2006,2,15,18468
2/16/2006,2006,2,16,19073
2/17/2006,2006,2,17,19452
2/18/2006,2006,2,18,19764
2/19/2006,2006,2,19,19523
2/20/2006,2006,2,20,20922
2/21/2006,2006,2,21,20552
2/22/2006,2006,2,22,20342
2/23/2006,2006,2,23,20603
2/24/2006,2006,2,24,20490
2/25/2006,2006,2,25,21613
2/26/2006,2006,2,26,21227
2/27/2006,2006,2,27,20920
2/28/2006,2006,2,28,21166
3/1/2006,2006,3,1,20823
3/2/2006,2006,3,2,20448
3/3/2006,2006,3,3,19785
3/4/2006,2006,3,4,19839
3/5/2006,2006,3,5,19789
3/6/2006,2006,3,6,19684
3/7/2006,2006,3,7,19659
3/8/2006,2006,3,8,19035
3/9/2006,2006,3,9,18828
3/10/2006,2006,3,10,18336
3/11/2006,2006,3,11,18562
3/12/2006,2006,3,12,18881
3/13/2006,2006,3,13,19131
3/14/2006,2006,3,14,18667
3/15/2006,2006,3,15,18722
3/16/2006,2006,3,16,18979
3/17/2006,2006,3,17,19228
3/18/2006,2006,3,18,19289
3/19/2006,2006,3,19,19225
3/20/2006,2006,3,20,19821
3/21/2006,2006,3,21,20648
3/22/2006,2006,3,22,21437
3/23/2006,2006,3,23,22434
3/24/2006,2006,3,24,22629
3/25/2006,2006,3,25,23516
3/26/2006,2006,3,26,23600
3/27/2006,2006,3,27,24522
3/28/2006,2006,3,28,24611
3/29/2006,2006,3,29,25250
3/30/2006,2006,3,30,26068
3/31/2006,2006,3,31,26271
4/1/2006,2006,4,1,26086
4/2/2006,2006,4,2,26019
4/3/2006,2006,4,3,26831
4/4/2006,2006,4,4,27114
4/5/2006,2006,4,5,25451
4/6/2006,2006,4,6,26779
4/7/2006,2006,4,7,27356
4/8/2006,2006,4,8,27677
4/9/2006,2006,4,9,28010
4/10/2006,2006,4,10,28349
4/11/2006,2006,4,11,28465
4/12/2006,2006,4,12,29330
4/13/2006,2006,4,13,30150
4/14/2006,2006,4,14,30836
4/15/2006,2006,4,15,31303
4/16/2006,2006,4,16,31101
4/17/2006,2006,4,17,31058
4/18/2006,2006,4,18,30857
4/19/2006,2006,4,19,30292
4/20/2006,2006,4,20,29726
4/21/2006,2006,4,21,28695
4/22/2006,2006,4,22,29458
4/23/2006,2006,4,23,29285
4/24/2006,2006,4,24,29451
4/25/2006,2006,4,25,29265
4/26/2006,2006,4,26,28643
4/27/2006,2006,4,27,28360
4/28/2006,2006,4,28,27947
4/29/2006,2006,4,29,27572
4/30/2006,2006,4,30,27659
5/1/2006,2006,5,1,26092
5/2/2006,2006,5,2,26217
5/3/2006,2006,5,3,26746
5/4/2006,2006,5,4,26150
5/5/2006,2006,5,5,25145
5/6/2006,2006,5,6,24345
5/7/2006,2006,5,7,24198
5/8/2006,2006,5,8,23399
5/9/2006,2006,5,9,23882
5/10/2006,2006,5,10,23401
5/11/2006,2006,5,11,22858
5/12/2006,2006,5,12,22417
5/13/2006,2006,5,13,23318
5/14/2006,2006,5,14,23350
5/15/2006,2006,5,15,23005
5/16/2006,2006,5,16,23506
5/17/2006,2006,5,17,23919
5/18/2006,2006,5,18,24340
5/19/2006,2006,5,19,23846
