year,sex,location,source,count
2005,Women,Community,Western Seoul,990
2005,Women,Community,Southern Seoul,2161
2005,Women,Community,Eastern Seoul,1293
2005,Women,Community,Busan,1139
2005,Women,Community,DaeguGyeongbuk,2731
2005,Women,Community,Incheon,1647
2005,Women,Community,Ulsan,686
2005,Women,Community,Gyeonggi,1266
2005,Women,Community,Gangwon,375
2005,Women,Community,Chungbuk,554
2005,Women,Community,DaejeonChungnam,1064
2005,Women,Community,Jeonbuk,550
2005,Women,Community,Jeonnam,2741
2005,Women,Community,Gyeongnam,932
2005,Women,Community,Jeju,483
2005,Women,Community,Outside of Korean Red Cross,0
2005,Women,Personal Participation,Korean Red Cross,300866
2005,Women,Personal Participation,Central Seoul,27940
2005,Women,Personal Participation,Western Seoul,13850
2005,Women,Personal Participation,Southern Seoul,23693
2005,Women,Personal Participation,Eastern Seoul,25606
2005,Women,Personal Participation,Busan,42815
2005,Women,Personal Participation,DaeguGyeongbuk,31424
2005,Women,Personal Participation,Incheon,25849
2005,Women,Personal Participation,Ulsan,13095
2005,Women,Personal Participation,Gyeonggi,16182
2005,Women,Personal Participation,Gangwon,5648
2005,Women,Personal Participation,Chungbuk,9881
2005,Women,Personal Participation,DaejeonChungnam,13505
2005,Women,Personal Participation,Jeonbuk,15740
2005,Women,Personal Participation,Jeonnam,23918
2005,Women,Personal Participation,Gyeongnam,7661
2005,Women,Personal Participation,Jeju,4059
2005,Women,Personal Participation,Outside of Korean Red Cross,8612
2005,Women,In Hospital,Korean Red Cross,5467
2005,Women,In Hospital,Central Seoul,496
2005,Women,In Hospital,Western Seoul,119
2005,Women,In Hospital,Southern Seoul,261
2005,Women,In Hospital,Eastern Seoul,1466
2005,Women,In Hospital,Busan,59
2005,Women,In Hospital,DaeguGyeongbuk,233
2005,Women,In Hospital,Incheon,1382
2005,Women,In Hospital,Ulsan,38
2005,Women,In Hospital,Gyeonggi,229
2005,Women,In Hospital,Gangwon,94
2005,Women,In Hospital,Chungbuk,18
2005,Women,In Hospital,DaejeonChungnam,200
2005,Women,In Hospital,Jeonbuk,52
2005,Women,In Hospital,Jeonnam,25
2005,Women,In Hospital,Gyeongnam,773
2005,Women,In Hospital,Jeju,22
2005,Women,In Hospital,Outside of Korean Red Cross,8612
2005,Women,Blood donation house,Korean Red Cross,257859
2005,Women,Blood donation house,Central Seoul,21815
2005,Women,Blood donation house,Western Seoul,11500
2005,Women,Blood donation house,Southern Seoul,18833
2005,Women,Blood donation house,Eastern Seoul,21390
2005,Women,Blood donation house,Busan,39833
2005,Women,Blood donation house,DaeguGyeongbuk,27499
2005,Women,Blood donation house,Incheon,20147
2005,Women,Blood donation house,Ulsan,11290
2005,Women,Blood donation house,Gyeonggi,12819
2005,Women,Blood donation house,Gangwon,5496
2005,Women,Blood donation house,Chungbuk,9791
2005,Women,Blood donation house,DaejeonChungnam,10867
2005,Women,Blood donation house,Jeonbuk,15397
2005,Women,Blood donation house,Jeonnam,23489
2005,Women,Blood donation house,Gyeongnam,4420
2005,Women,Blood donation house,Jeju,3273
2005,Women,Blood donation house,Outside of Korean Red Cross,0
2005,Women,Blood donation bus,Korean Red Cross,37540
2005,Women,Blood donation bus,Central Seoul,5629
2005,Women,Blood donation bus,Western Seoul,2231
2005,Women,Blood donation bus,Southern Seoul,4599
2005,Women,Blood donation bus,Eastern Seoul,2750
2005,Women,Blood donation bus,Busan,2923
2005,Women,Blood donation bus,DaeguGyeongbuk,3692
