year,source,sex,total,whole_blood_donation,whole_blood_donation_320ml,whole_blood_donation_400ml,apheresis_donation,apheresis_donation_plasma,apheresis_donation_platelets,apheresis_donation_multiapheresis,apheresis_donation_other
2010,Outside of Korean Red Cross,Women,49250,46662,32244,14418,2588,1700,811,,77
2011,Central Seoul,Men,,,,,,,,,
2011,Central Seoul,Women,,,,,,,,,
2011,Western Seoul,Men,179077,126600,22313,104287,52477,28636,23841,,
2011,Western Seoul,Women,92521,72560,67859,4701,19961,18592,1369,,
2011,Southern Seoul,Men,160365,127160,15887,111273,33205,19439,13766,,
2011,Southern Seoul,Women,57592,48892,45248,3644,8700,8356,344,,
2011,Eastern Seoul,Men,171213,128778,25562,103216,42435,23741,18694,,
2011,Eastern Seoul,Women,93827,81960,71069,10891,11867,10935,932,,
2011,Busan,Men,150860,124971,20654,104317,25889,20611,5278,,
2011,Busan,Women,66157,52382,52381,1,13775,13727,48,,
2011,DaeguGyeongbuk,Men,142391,122837,25134,97703,19554,14376,5178,,
2011,DaeguGyeongbuk,Women,69332,64750,64226,524,4582,4317,265,,
2011,Incheon,Men,115288,81918,19743,62175,33370,27247,6123,,
2011,Incheon,Women,59622,47683,45281,2402,11939,11746,193,,
2011,Ulsan,Men,54331,44823,10305,34518,9508,7354,2154,,
2011,Ulsan,Women,19173,17572,17556,16,1601,1559,42,,
2011,Gyeonggi,Men,126466,101980,24013,77967,24486,15422,9064,,
2011,Gyeonggi,Women,50123,45510,42512,2998,4613,4416,197,,
2011,Gangwon,Men,72405,58577,7724,50853,13828,12365,1463,,
2011,Gangwon,Women,19882,17448,16111,1337,2434,2431,3,,
2011,Chungbuk,Men,71818,53319,7565,45754,18499,16868,1631,,
2011,Chungbuk,Women,19536,14256,8549,5707,5280,5276,4,,
2011,DaejeonChungnam,Men,145124,114587,20094,94493,30537,26919,3618,,
2011,DaejeonChungnam,Women,44613,32141,31946,195,12472,12434,38,,
2011,Jeonbuk,Men,90925,69281,12361,56920,21644,19467,2177,,
2011,Jeonbuk,Women,34581,25847,25772,75,8734,8716,18,,
2011,Jeonnam,Men,123318,92930,23322,69608,30388,24589,5799,,
2011,Jeonnam,Women,69433,56477,54307,2170,12956,12514,442,,
2011,Gyeongnam,Men,91966,79684,19835,59849,12282,9536,2746,,
2011,Gyeongnam,Women,22358,20397,20394,3,1961,1938,23,,
2011,Jeju,Men,21710,16931,3816,13115,4779,3354,1425,,
2011,Jeju,Women,12509,11235,10135,1100,1274,1265,9,,
2011,Outside of Korean Red Cross,Men,107274,85205,12218,72987,22069,7228,13913,,928
2011,Outside of Korean Red Cross,Women,60785,56619,39102,17517,4166,2570,1442,,154
2012,Central Seoul,Men,,,,,,,,,
2012,Central Seoul,Women,,,,,,,,,
2012,Western Seoul,Men,191965,135237,21352,113885,56728,29480,27160,,88
2012,Western Seoul,Women,91205,69965,64633,5332,21240,19202,2037,,1
2012,Southern Seoul,Men,166236,133235,16049,117186,33001,19871,13130,,
2012,Southern Seoul,Women,62745,53157,50704,2453,9588,9111,477,,
2012,Eastern Seoul,Men,181040,137245,25150,112095,43795,21285,22510,,
2012,Eastern Seoul,Women,94984,83420,75712,7708,11564,10560,1004,,
2012,Busan,Men,152398,124358,19576,104782,28040,21467,6573,,
2012,Busan,Women,66477,51969,51555,414,14508,14453,55,,
2012,DaeguGyeongbuk,Men,152043,127323,25076,102247,24720,18387,6333,,
2012,DaeguGyeongbuk,Women,74781,68127,66363,1764,6654,6371,283,,
2012,Incheon,Men,114452,80445,17845,62600,34007,26753,7254,,
2012,Incheon,Women,58986,47882,45996,1886,11104,10819,285,,
2012,Ulsan,Men,57870,47765,11956,35809,10105,7607,2498,,
2012,Ulsan,Women,21211,19059,19057,2,2152,2141,11,,
2012,Gyeonggi,Men,128317,102562,21557,81005,25755,16111,9644,,
2012,Gyeonggi,Women,47425,42248,40530,1718,5177,4963,214,,
2012,Gangwon,Men,85987,70286,6058,64228,15701,13239,2462,,
2012,Gangwon,Women,22311,19389,14370,5019,2922,2911,11,,
2012,Chungbuk,Men,78316,58917,9983,48934,19399,17631,1768,,
2012,Chungbuk,Women,21781,16159,11679,4480,5622,5615,7,,
2012,DaejeonChungnam,Men,152287,118752,20508,98244,33535,29666,3869,,
2012,DaejeonChungnam,Women,53959,41721,41597,124,12238,12211,27,,
2012,Jeonbuk,Men,92343,71282,13252,58030,21061,19084,1977,,
2012,Jeonbuk,Women,35581,27115,25358,1757,8466,8389,77,,
2012,Jeonnam,Men,121889,93138,22771,70367,28751,21791,6960,,
2012,Jeonnam,Women,63766,52614,51180,1434,11152,10409,743,,
2012,Gyeongnam,Men,94915,83198,20794,62404,11717,8843,2874,,
2012,Gyeongnam,Women,25371,23796,23780,16,1575,1554,21,,
2012,Jeju,Men,20515,16532,3260,13272,3983,2533,1450,,
2012,Jeju,Women,11339,10698,9530,1168,641,625,16,,
2012,Outside of Korean Red Cross,Men,115098,91358,15206,76152,23740,7333,15515,,892
2012,Outside of Korean Red Cross,Women,65015,59798,45059,14739,5217,3702,1383,,132
2013,Central Seoul,Men,,,,,,,,,
2013,Central Seoul,Women,,,,,,,,,
2013,Western Seoul,Men,209828,140871,21603,119268,68957,38912,17389,12656,
2013,Western Seoul,Women,92775,69603,67516,2087,23172,21219,1871,82,
2013,Southern Seoul,Men,172180,126364,13791,112573,45816,28255,12665,4896,
2013,Southern Seoul,Women,63071,48562,44092,4470,14509,13455,931,123,
2013,Eastern Seoul,Men,198140,135701,22863,112838,62439,37955,12311,12173,
2013,Eastern Seoul,Women,97210,79291,72729,6562,17919,16882,866,171,
2013,Busan,Men,156401,118185,18171,100014,38216,30701,5255,2260,
2013,Busan,Women,74522,55027,53959,1068,19495,19435,54,6,
2013,DaeguGyeongbuk,Men,166006,127693,22648,105045,38313,32323,4414,1576,
2013,DaeguGyeongbuk,Women,78744,65046,62174,2872,13698,13459,222,17,
2013,Incheon,Men,117031,76210,15251,60959,40821,33553,4646,2622,
2013,Incheon,Women,60781,46793,44786,2007,13988,13705,253,30,
2013,Ulsan,Men,60388,46183,11412,34771,14205,11235,2363,607,
2013,Ulsan,Women,20917,17464,17461,3,3453,3418,35,,
2013,Gyeonggi,Men,140559,105252,22009,83243,35307,24425,7578,3304,
2013,Gyeonggi,Women,50703,42831,41517,1314,7872,7616,234,22,
2013,Gangwon,Men,95113,75778,6457,69321,19335,16425,2015,895,
2013,Gangwon,Women,25342,20164,15836,4328,5178,5154,22,2,
2013,Chungbuk,Men,74971,52826,8368,44458,22145,20346,1235,564,
2013,Chungbuk,Women,23174,17151,12229,4922,6023,6011,12,,
2013,DaejeonChungnam,Men,163562,119785,18638,101147,43777,39269,2390,2118,
2013,DaejeonChungnam,Women,60488,43595,43519,76,16893,16880,11,2,
2013,Jeonbuk,Men,95861,68471,12358,56113,27390,26054,1149,187,
2013,Jeonbuk,Women,35567,25109,23952,1157,10458,10423,30,5,
2013,Jeonnam,Men,134077,93569,20023,73546,40508,33322,4002,3184,
2013,Jeonnam,Women,71687,53197,50734,2463,18490,17787,577,126,
