year,source,sex,age,count
2018,Daegu/Gyeungbook,Women,16-19,29847
2018,Incheon,Men,16-19,27676
2018,Incheon,Women,16-19,19087
2018,Ulsan,Men,16-19,22098
2018,Ulsan,Women,16-19,10124
2018,Gyeonggi,Men,16-19,31027
2018,Gyeonggi,Women,16-19,17087
2018,Gangwon,Men,16-19,27159
2018,Gangwon,Women,16-19,11506
2018,Chungbook,Men,16-19,19361
2018,Chungbook,Women,16-19,10838
2018,Daejeon/Sejong/Chungnaam,Men,16-19,52111
2018,Daejeon/Sejong/Chungnaam,Women,16-19,33004
2018,Jeonbook,Men,16-19,26509
2018,Jeonbook,Women,16-19,13801
2018,Gwangju/Jeonnam,Men,16-19,43565
2018,Gwangju/Jeonnam,Women,16-19,33167
2018,Gyeongnaam,Men,16-19,34659
2018,Gyeongnaam,Women,16-19,16606
2018,Jeju,Men,16-19,7372
2018,Jeju,Women,16-19,4951
2018,Outside of Korean Red Cross,Men,16-19,31594
2018,Outside of Korean Red Cross,Women,16-19,27192
2019,Central Seoul,Men,16-19,32574
2019,Central Seoul,Women,16-19,21163
2019,Western Seoul,Men,16-19,
2019,Western Seoul,Women,16-19,
2019,Southern Seoul,Men,16-19,27756
2019,Southern Seoul,Women,16-19,13967
2019,Eastern Seoul,Men,16-19,40779
2019,Eastern Seoul,Women,16-19,28177
2019,Busan,Men,16-19,40385
2019,Busan,Women,16-19,24722
2019,Daegu/Gyeungbook,Men,16-19,43955
2019,Daegu/Gyeungbook,Women,16-19,26720
2019,Incheon,Men,16-19,25858
2019,Incheon,Women,16-19,17796
2019,Ulsan,Men,16-19,21851
2019,Ulsan,Women,16-19,10855
2019,Gyeonggi,Men,16-19,32679
2019,Gyeonggi,Women,16-19,18733
2019,Gangwon,Men,16-19,24108
2019,Gangwon,Women,16-19,11033
2019,Chungbook,Men,16-19,19107
2019,Chungbook,Women,16-19,11417
2019,Daejeon/Sejong/Chungnaam,Men,16-19,49213
2019,Daejeon/Sejong/Chungnaam,Women,16-19,33262
2019,Jeonbook,Men,16-19,27067
2019,Jeonbook,Women,16-19,14636
2019,Gwangju/Jeonnam,Men,16-19,43006
2019,Gwangju/Jeonnam,Women,16-19,32155
2019,Gyeongnaam,Men,16-19,33967
2019,Gyeongnaam,Women,16-19,16236
