Year,Month,Month_Number,Surgery,Patients
2017,January,1, Aortic valve replacement ,8109.0
2017,February,2, Aortic valve replacement ,0.0
2017,March,3, Aortic valve replacement ,0.0
2017,April,4, Aortic valve replacement ,0.0
2017,May,5, Aortic valve replacement ,0.0
2017,June,6, Aortic valve replacement ,0.0
2017,July,7, Aortic valve replacement ,0.0
2017,August,8, Aortic valve replacement ,0.0
2017,September,9, Aortic valve replacement ,0.0
2017,October,10, Aortic valve replacement ,0.0
2017,November,11, Aortic valve replacement ,0.0
2017,December,12, Aortic valve replacement ,0.0
2018,January,1, Aortic valve replacement ,9218.0
2018,February,2, Aortic valve replacement ,0.0
2018,March,3, Aortic valve replacement ,0.0
2018,April,4, Aortic valve replacement ,0.0
2018,May,5, Aortic valve replacement ,0.0
2018,June,6, Aortic valve replacement ,0.0
2018,July,7, Aortic valve replacement ,0.0
2018,August,8, Aortic valve replacement ,0.0
2018,September,9, Aortic valve replacement ,0.0
2018,October,10, Aortic valve replacement ,0.0
2018,November,11, Aortic valve replacement ,0.0
2018,December,12, Aortic valve replacement ,0.0
2019,January,1, Aortic valve replacement ,9469.0
2019,February,2, Aortic valve replacement ,0.0
2019,March,3, Aortic valve replacement ,0.0
2019,April,4, Aortic valve replacement ,0.0
2019,May,5, Aortic valve replacement ,0.0
2019,June,6, Aortic valve replacement ,0.0
2019,July,7, Aortic valve replacement ,0.0
2019,August,8, Aortic valve replacement ,0.0
2019,September,9, Aortic valve replacement ,0.0
2019,October,10, Aortic valve replacement ,0.0
2019,November,11, Aortic valve replacement ,0.0
2019,December,12, Aortic valve replacement ,0.0
2020,January,1, Aortic valve replacement ,8889.0
2020,February,2, Aortic valve replacement ,0.0
2020,March,3, Aortic valve replacement ,0.0
2020,April,4, Aortic valve replacement ,0.0
2020,May,5, Aortic valve replacement ,0.0
2020,June,6, Aortic valve replacement ,0.0
2020,July,7, Aortic valve replacement ,0.0
2020,August,8, Aortic valve replacement ,0.0
2020,September,9, Aortic valve replacement ,0.0
2020,October,10, Aortic valve replacement ,0.0
2020,November,11, Aortic valve replacement ,0.0
2020,December,12, Aortic valve replacement ,0.0
2021,January,1, Aortic valve replacement ,9239.0
2021,February,2, Aortic valve replacement ,0.0
2021,March,3, Aortic valve replacement ,0.0
2021,April,4, Aortic valve replacement ,0.0
