"Area","Gender",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"Area","Gender",Men+Women,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown,Men+Women,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown
"Area","Gender",Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Death at entering hospital,DNR Death,Death after CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room °Ê Hospital Room,Operating Room°ÊIntensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Transition to Tertiary Hospital,Transition to Secondary Hospital,Transition to Long-term Facility,Change of Hospital Due to Personal Preferences,Other,Subtotal,Subtotal,Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Death at entering hospital,DNR Death,Death after CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room °Ê Hospital Room,Operating Room°ÊIntensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Transition to Tertiary Hospital,Transition to Secondary Hospital,Transition to Long-term Facility,Change of Hospital Due to Personal Preferences,Other,Subtotal,Subtotal
"Chungbook","Women",53301,38504,33141,2,1,808,165,4387,330,230,4,90,6,11899,10080,1347,300,79,93,819,38,32,93,157,36,348,37,78,1610,139,51616,38466,32950,5,3,742,209,4557,342,220,9,110,3,10979,9412,1121,291,129,26,698,18,29,69,206,14,22,291,49,1072,59
"Chungnaam","Men+Women",156042,116835,109354,23,24,2338,1548,3548,790,495,59,212,24,31426,25054,4998,1015,342,17,3799,119,54,526,692,8,2001,15,384,2785,407,175070,133656,124396,45,25,2493,1803,4894,834,497,66,257,14,33559,27021,4996,1022,507,13,2991,55,48,422,873,4,2,1331,256,3521,509
"Chungnaam","Men",84599,62790,58570,15,15,1381,863,1946,504,308,36,140,20,17233,13347,2979,681,218,8,2393,67,34,343,425,7,1260,6,251,1462,217,95437,72395,67123,20,14,1454,983,2801,538,315,42,171,10,18468,14402,3033,680,344,9,1867,31,27,288,556,3,2,795,165,1866,303
"Chungnaam","Women",71443,54045,50784,8,9,957,685,1602,286,187,23,72,4,14193,11707,2019,334,124,9,1406,52,20,183,267,1,741,9,133,1323,190,79633,61261,57273,25,11,1039,820,2093,296,182,24,86,4,15091,12619,1963,342,163,4,1124,24,21,134,317,1,0,536,91,1655,206
"Jeonbook","Men+Women",154121,96158,87203,142,10,6476,512,1815,1588,669,385,507,27,44357,36463,4268,2984,612,30,7026,35,8,246,1240,1441,3815,128,113,3782,1210,146693,88879,80597,81,13,6091,425,1672,1427,616,322,480,9,43949,36048,4387,2931,557,26,6051,28,9,212,1420,1065,397,2802,118,3934,2453
"Jeonbook","Men",83498,51102,46126,82,6,3500,307,1081,1018,414,237,350,17,24453,19821,2537,1700,386,9,4166,20,3,173,784,864,2194,59,69,2156,603,79369,47123,42508,45,8,3295,254,1013,902,406,180,309,7,24307,19579,2608,1764,348,8,3512,15,3,134,844,632,225,1595,64,2322,1203
"Jeonbook","Women",70623,45056,41077,60,4,2976,205,734,570,255,148,157,10,19904,16642,1731,1284,226,21,2860,15,5,73,456,577,1621,69,44,1626,607,67324,41756,38089,36,5,2796,171,659,525,210,142,171,2,19642,16469,1779,1167,209,18,2539,13,6,78,576,433,172,1207,54,1612,1250
"Jeonnaam","Men+Women",132915,95008,73946,81,19,446,2970,17546,949,628,117,197,7,30146,23860,4875,967,443,1,2674,8,10,132,1217,8,1184,36,79,1167,2971,102869,72570,52229,30,48,332,2484,17447,672,427,65,174,6,23389,18003,4183,772,431,0,2172,16,12,98,928,19,58,945,96,359,3707
"Jeonnaam","Men",73118,51905,39767,39,9,253,1594,10243,597,373,82,136,6,16681,12905,2857,618,301,0,1625,4,6,75,771,2,694,26,47,738,1572,56194,38938,27242,16,29,211,1310,10130,416,275,39,97,5,13224,9925,2533,498,268,0,1386,9,5,70,599,10,40,596,57,217,2013
"Jeonnaam","Women",59797,43103,34179,42,10,193,1376,7303,352,255,35,61,1,13465,10955,2018,349,142,1,1049,4,4,57,446,6,490,10,32,429,1399,46675,33632,24987,14,19,121,1174,7317,256,152,26,77,1,10165,8078,1650,274,163,0,786,7,7,28,329,9,18,349,39,142,1694
"Gyeongbook","Men+Women",281370,208091,180028,40,17,4904,4427,18675,1753,1270,78,377,28,55261,44233,8274,2143,579,32,3334,55,47,308,1681,4,827,85,327,5667,7264,277017,202981,171399,26,21,4906,4033,22596,1770,1228,68,450,24,54418,43168,8308,2250,646,46,3289,33,36,421,1579,0,5,1031,184,5560,8999
"Gyeongbook","Men",152707,112626,95991,22,9,2832,2408,11364,1083,774,47,245,17,30201,23571,4936,1327,352,15,2035,27,35,181,1027,3,517,36,209,3215,3547,150687,110044,91107,13,12,2876,2201,13835,1124,760,52,296,16,29904,23092,4898,1468,421,25,2009,20,21,259,922,0,3,657,127,3189,4417
"Gyeongbook","Women",128663,95465,84037,18,8,2072,2019,7311,670,496,31,132,11,25060,20662,3338,816,227,17,1299,28,12,127,654,1,310,49,118,2452,3717,126330,92937,80292,13,9,2030,1832,8761,646,468,16,154,8,24514,20076,3410,782,225,21,1280,13,15,162,657,0,2,374,57,2371,4582
"Gyeongnaam","Men+Women",229039,173323,165976,107,37,3289,1601,2313,1257,321,364,560,12,47402,38677,5607,2241,726,151,3852,229,32,321,664,280,2035,140,151,123,3082,242053,183490,173998,58,37,4097,2671,2629,1351,373,411,554,13,48716,39407,5667,2720,813,109,4670,203,36,402,1031,324,178,2137,359,151,3675
"Gyeongnaam","Men",123289,91998,87846,53,18,1999,762,1320,799,208,221,361,9,26388,21279,3278,1317,436,78,2288,135,14,214,436,153,1188,74,74,90,1726,129209,96569,91275,31,18,2526,1219,1500,872,223,263,377,9,26967,21328,3427,1650,513,49,2746,108,25,279,603,169,91,1249,222,117,1938
"Gyeongnaam","Women",105750,81325,78130,54,19,1290,839,993,458,113,143,199,3,21014,17398,2329,924,290,73,1564,94,18,107,228,127,847,66,77,33,1356,112844,86921,82723,27,19,1571,1452,1129,479,150,148,177,4,21749,18079,2240,1070,300,60,1924,95,11,123,428,155,87,888,137,34,1737
"Jeju","Men+Women",143655,117073,112699,70,3,835,1668,1798,870,608,21,232,9,22297,17499,3809,683,236,70,922,20,71,88,478,5,198,1,61,439,2054,132551,105979,102364,46,1,760,1253,1555,736,520,20,190,6,24185,19670,3707,499,298,11,893,25,55,86,478,4,0,201,44,591,167
"Jeju","Men",79100,64316,61738,40,2,526,941,1069,545,386,7,146,6,12274,9349,2272,464,167,22,564,13,47,55,295,3,116,0,35,308,1093,71139,56646,54571,19,1,467,696,892,437,318,8,107,4,13087,10465,2124,299,193,6,553,13,30,50,316,4,0,109,31,357,59
"Jeju","Women",64555,52757,50961,30,1,309,727,729,325,222,14,86,3,10023,8150,1537,219,69,48,358,7,24,33,183,2,82,1,26,131,961,61412,49333,47793,27,0,293,557,663,299,202,12,83,2,11098,9205,1583,200,105,5,340,12,25,36,162,0,0,92,13,234,108
