"Gender","Location","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","Highschool","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","32353","31467","31324","35756","30830","36553","34703","34101","34850","30262","25774","32533","34034","29612","32618","10267","17632","15010","18836",
"Men+Women","Highschool","Gwangju/Jeonnaam","Composition Rate[%]","%","18.6","15.7","17.6","18.4","15.3","18.4","18","18.4","16.9","13.9","11.6","16.1","15.5","14.3","15.8","5.6","9.5","7.9","10",
"Men+Women","Highschool","Gyeongnaam","Donation Count[Unit]","Unit","10494","13523","13382","17124","15400","21383","19603","22623","23971","23119","18454","21218","25080","26416","26940","9675","10604","11060","13911",
"Men+Women","Highschool","Gyeongnaam","Composition Rate[%]","%","10.4","13.2","14.6","16.8","13.4","17.9","17.1","18.8","17.8","16.2","13.6","16.6","19.2","19.6","20.3","7.4","8.5","9","10.8",
"Men+Women","Highschool","Jeju","Donation Count[Unit]","Unit","4691","5891","6336","6583","5693","6644","7664","6604","6362","7416","6852","7276","6904","7625","7421","4522","5523","6132","6509",
"Men+Women","Highschool","Jeju","Composition Rate[%]","%","14.8","19.8","23","20.2","15.4","17.3","22.4","20.7","18.5","19.8","16.8","20.3","18.3","22.3","20.6","10.9","13.1","14.7","13.8",
"Men+Women","Highschool","Outside of Korean Red Cross","Donation Count[Unit]","Unit","0","0","0","0","15940","18858","22184","15242","14315","11444","9930","12036","9505","8435","5316","625","1769","3151","4762",
"Men+Women","Highschool","Outside of Korean Red Cross","Composition Rate[%]","%","0","0","0","0","14.7","12.6","13.2","8.5","6.9","5.5","4.7","5.4","4.4","4.2","3",".4","1","1.5","2",
"Men+Women","University","Total","Donation Count[Unit]","Unit","101838","110366","80066","87216","87735","70804","68468","77661","85331","92513","94744","80090","82256","80164","88291","17705","38546","60710","72465",
"Men+Women","University","Total","Composition Rate[%]","%","4.5","4.8","3.8","3.7","3.4","2.7","2.6","2.9","2.9","3","3.1","2.8","2.8","2.8","3.2",".7","1.5","2.3","2.6",
"Men+Women","University","Korean Red Cross","Donation Count[Unit]","Unit","101838","110366","80066","87216","87735","70804","68468","68447","76208","83155","85549","71240","74043","73772","81802","17055","36447","54406","63197",
"Men+Women","University","Korean Red Cross","Composition Rate[%]","%","4.6","4.9","3.9","3.8","3.6","2.8","2.8","2.7","2.8","2.9","3","2.7","2.7","2.8","3.1",".7","1.5","2.2","2.5",
"Men+Women","University","Central Seoul","Donation Count[Unit]","Unit","8258","7814","7509","5498","5139","2773","","","","","","","","1287","1932","237","430","1234","2673",
"Men+Women","University","Central Seoul","Composition Rate[%]","%","3.9","3.5","4","2.6","2.5","1.1","","","","","","","",".5",".8",".1",".2",".6","1.1",
"Men+Women","University","Western Seoul","Donation Count[Unit]","Unit","1546","1615","1682","1681","1299","515","2707","4241","2704","2537","2396","1859","1741","","","","","","",
"Men+Women","University","Western Seoul","Composition Rate[%]","%","1.2","1.2","1.1","1",".7",".6","1","1.5",".9",".8",".7",".6",".6","","","","","","",
"Men+Women","University","Southern Seoul","Donation Count[Unit]","Unit","4546","7199","6160","3786","4612","2783","2326","2112","1741","2414","2143","1479","3149","2765","3054","566","508","1001","1306",
"Men+Women","University","Southern Seoul","Composition Rate[%]","%","2.5","3.8","3.6","2","2.2","1.3","1.1",".9",".7","1.1","1",".7","1.3","1.2","1.4",".3",".3",".6",".7",
"Men+Women","University","Eastern Seoul","Donation Count[Unit]","Unit","8975","10644","7595","6596","7873","5579","4916","3970","3596","3581","2440","2601","3262","3342","3476","2029","2792","3575","4379",
"Men+Women","University","Eastern Seoul","Composition Rate[%]","%","4.6","5.3","4.2","3.3","3.7","2.2","1.9","1.4","1.2","1.1",".8","1","1.2","1.2","1.3",".9","1.2","1.5","1.7",
"Men+Women","University","Busan","Donation Count[Unit]","Unit","5502","9236","5053","5378","7209","6630","5919","6689","6845","5035","6710","3213","4441","3928","4630","817","3321","5227","5670",
"Men+Women","University","Busan","Composition Rate[%]","%","2.6","4.3","2.7","2.6","3.3","2.8","2.7","3.1","3","2.1","2.8","1.6","2.1","1.8","2.2",".4","1.7","2.6","2.8",
"Men+Women","University","Daegu/Gyeongbook","Donation Count[Unit]","Unit","12490","12962","11870","15580","11643","9444","9362","13143","15146","15988","13740","13517","12401","13129","12360","2375","7515","9181","9410",
"Men+Women","University","Daegu/Gyeongbook","Composition Rate[%]","%","6.4","6.9","7.5","8.3","5.4","4.4","4.4","5.8","6.2","6.1","5.3","5.7","5.2","5.3","5.3","1.2","3.3","4.1","4.1",
"Men+Women","University","Incheon","Donation Count[Unit]","Unit","1138","1753","1206","1762","2654","1526","1378","1175","1115","2015","2575","2030","1596","1354","2789","223","623","2151","1802",
"Men+Women","University","Incheon","Composition Rate[%]","%",".9","1.4","1.1","1.4","2","1",".8",".7",".6","1.1","1.4","1.3","1",".9","1.8",".1",".4","1.3","1",
"Men+Women","University","Ulsan","Donation Count[Unit]","Unit","1271","1040","1622","3061","2357","2256","2954","3320","2168","2344","2222","2123","2153","2681","3766","810","1302","2115","2289",
"Men+Women","University","Ulsan","Composition Rate[%]","%","1.6","1.3","2.5","4.3","3.2","3","4","4.2","2.7","2.6","2.4","2.4","2.5","3.1","4.1","1","1.6","2.4","2.3",
"Men+Women","University","Gyeonggi","Donation Count[Unit]","Unit","11000","7656","5012","5866","5015","3175","2781","3062","4633","5352","7190","6422","8539","5709","7827","1204","1601","4552","3818",
