"Daily",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"04.29",21428,27572,22809,28326,24392,20737,19309,18613,37564,23996,18180,21428,18063,21071,15505,16707,12611,20645,16429
"04.30",24247,27659,21939,28058,24458,20657,20791,18316,37717,23113,18776,24247,19011,21454,13884,16357,13670,24130,17724
"05.01",24630,26092,20489,27468,23719,21475,22207,18141,35579,21407,18450,24630,18692,19601,14342,15914,15163,24585,17960
"05.02",24500,26217,20789,27127,25589,22709,21620,18269,31215,22325,21557,24500,19783,19632,15597,17303,17373,24418,17151
"05.03",25679,26746,20850,26840,26320,21968,21433,19100,31254,25995,21957,25679,18978,19536,16974,17633,16435,24629,16850
"05.04",25821,26150,20202,27304,25869,21693,20858,20137,34468,27273,23081,25821,21225,20152,19539,16335,15790,24853,15201
"05.05",24105,25145,20977,26967,26207,22666,21310,23997,35464,26155,23115,24105,19905,21702,19305,15517,14858,25158,14818
"05.06",24000,24345,20696,27427,25690,22231,21758,25858,35613,27409,23418,24000,22051,22617,18858,13728,14583,26314,15850
"05.07",24556,24198,21404,28401,25483,22542,23234,25844,35343,26207,24006,24556,22296,21584,18558,12870,14233,28397,16612
"05.08",25465,23399,21105,28128,25634,24814,24390,24932,35510,26505,24855,25465,23417,21705,17322,11938,16329,28991,15856
"05.09",25405,23882,20696,27135,27079,25796,24369,25390,36271,27019,28342,25405,21895,21320,16966,13084,17635,28599,15350
"05.10",24533,23401,21512,28759,28065,26489,25442,25573,36898,30735,28995,24533,22638,21760,16985,13212,16169,28658,14797
"05.11",25050,22858,21876,29767,27778,26984,24319,26057,40079,31844,27644,25050,23155,21541,18332,11931,15154,28711,14918
"05.12",25836,22417,23111,28555,27910,27415,23959,28981,41385,31616,27518,25836,24324,23156,18050,10844,14369,28934,15770
"05.13",26652,23318,23264,29044,28843,28622,24117,31078,40939,31703,27497,26652,26249,23555,18039,10616,13766,29536,18877
"05.14",27603,23350,24826,29424,29757,29035,27112,30839,40561,33247,28591,27603,26943,25263,17093,10278,13829,31747,19810
"05.15",28348,23005,24563,29554,29371,30456,28602,31217,39852,33233,28012,28348,27402,24882,16109,11369,16092,32428,18638
"05.16",28374,23506,24172,29358,29927,31428,28061,31177,39568,34109,29730,28374,27165,24064,16241,17292,16399,32611,17822
"05.17",28252,23919,24744,29615,31890,31057,28244,31080,38459,37198,30429,28252,26659,23586,16436,19604,15685,32089,17218
"05.18",27478,24340,24851,29853,32780,30103,28674,32347,41084,38976,30289,27478,26962,24002,17714,21211,15875,32001,16469
"05.19",27846,23846,25579,30841,33611,29848,28696,34314,41948,39235,30330,27846,28851,25588,18597,20344,15667,32626,17232
"05.20",28710,23958,26343,31577,34229,29943,28559,36466,41403,39971,29760,28710,30764,26130,18650,20199,15920,32954,19378
"05.21",30602,23853,27598,32024,33846,29670,30467,36636,41995,40839,29933,30602,31006,28053,18448,20126,16018,35401,20164
"05.22",31336,24308,28833,31901,34252,32014,32142,36051,42074,41123,30400,31336,32158,26371,18691,20916,18130,36588,19584
"05.23",31068,25381,29001,31380,36063,32450,31734,36016,42241,42785,31528,31068,32011,27454,19112,23746,19170,36497,19414
"05.24",29594,26398,27834,32590,37312,32084,31925,36260,41495,45501,33164,29594,32550,27754,19007,24727,18295,36176,18583
"05.25",29758,27119,29075,32870,38878,32304,32361,36659,43479,46633,33110,29758,33636,28378,21400,23315,17630,36065,18952
"05.26",29288,27383,29960,33802,39577,32382,32120,38408,44308,46704,31887,29288,35093,30767,21496,22419,16925,36230,19022
"05.27",30070,27890,30220,34620,40984,33948,33064,39353,43206,46825,32487,30070,37731,31783,21834,21364,16716,36721,20356
"05.28",31919,28339,30577,35030,42464,35133,35766,39419,42477,47383,32983,31919,39260,32453,21936,20581,16870,38826,21882
"05.29",33039,29993,31984,34808,43943,37118,37067,38769,42603,48137,33760,33039,39508,32038,22292,19546,18601,40143,21655
"05.30",33045,31022,32888,35797,44569,38631,37823,38756,43247,49145,35497,33045,39315,32725,23194,21788,19088,39809,21304
"05.31",32921,29545,34217,35828,46386,39978,38505,39440,43950,50952,36744,32921,40284,33766,24965,22814,17544,40234,21456
"06.01",32583,29155,34738,36269,47363,40418,37268,38860,46392,52224,36165,32583,40222,33349,27471,21949,16314,39568,21397
"06.02",32348,29638,34143,36926,47029,40212,37185,42025,46950,50659,34824,32348,40833,33848,27785,20198,15583,39784,21906
"06.03",32956,29678,34226,37454,47064,41903,37016,43173,46970,49057,33723,32956,42105,33853,27064,19660,14578,39945,23946
"06.04",34910,29584,36518,37552,47018,42175,38285,41434,45999,48555,32680,34910,42221,33413,26197,19044,16644,41273,25022
"06.05",35391,29912,37174,37882,46555,44089,39443,40818,44821,48595,31663,35391,43266,32131,26360,18115,20251,42193,25148
"06.06",33898,29154,36566,38045,47940,44736,40020,41667,44445,48300,33908,33898,42141,32306,26809,19982,21109,41664,26835
"06.07",33209,29178,36457,38440,48872,45127,39296,39922,45191,49014,34606,33209,41307,30691,27291,20896,20274,40839,25354
"06.08",31849,29439,36296,38218,49098,44900,38549,38923,47730,50033,32806,31849,40421,30758,28609,19595,19429,39821,24219
"06.09",30171,29668,36761,38494,48552,43615,38192,41488,49015,48020,30995,30171,40934,31776,28933,18131,18605,38875,24016
"06.10",30198,29877,37110,38503,48861,43143,37994,42587,48166,46044,30660,30198,42195,31645,28516,17892,17876,38584,25410
"06.11",30953,29568,38251,38518,49466,43691,40040,40616,46316,44267,30434,30953,42232,31086,27783,17219,17533,40389,25933
"06.12",30784,29596,37930,37870,49335,45791,40795,39263,45623,42863,30009,30784,41248,29991,27332,17373,19041,41290,24579
"06.13",29500,30005,37129,38103,50715,46493,40307,38842,46122,42621,32160,29500,40477,29102,26927,19795,20035,40542,24137
"06.14",28837,30615,38249,39464,51540,46351,39607,39695,45856,45352,34032,28837,40081,29876,27561,20586,19226,41541,25131
"06.15",27546,31002,38487,40083,51057,45439,37636,39771,48497,46245,32270,27546,39205,29601,28623,19759,17250,41903,25196
"06.16",26274,31232,38456,40212,50052,44666,37020,41976,49195,44466,30683,26274,38427,30615,28206,18837,16069,42004,25212
"06.17",26253,31678,38407,40646,48541,44425,35916,42674,46829,43561,30122,26253,38986,30661,27468,18676,14567,41683,26849
"06.18",27118,31202,39073,39767,49212,45217,37067,41748,44336,43012,29716,27118,38747,29779,26153,18011,14471,43405,27755
"06.19",27398,29507,39487,38078,49469,47167,38179,40555,43213,42421,30269,27398,37905,28124,24697,17846,16065,44386,26471
"06.20",25977,28799,38575,38387,49297,49068,35976,39093,42551,40870,32841,25977,36565,27396,23606,19997,16725,43359,24608
"06.21",23743,28307,37973,38540,50318,48664,34190,37706,41963,42663,33818,23743,35129,26175,23202,20655,15143,41905,23943
