"Gender","Monthly","Donation Source","Ç×¸ñ","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","February","Outside of Korean Red Cross","Donation Count","Unit","3430","3603","3612","4310","7765","10214","12634","14737","13297","14189","13610","13982","15195","15542","13174","13689","11457","12755","16504",
"Men+Women","February","Outside of Korean Red Cross","Composition Rate[%]","%","6.8","6.9","6.1","5.3","7.2","6.8","7.5","8.2","6.4","6.8","6.5","6.3","7.1","7.7","7.4","7.8","6.4","6.3","7",
"Men+Women","March","Total","Donation Count","Unit","194115","207363","167761","187547","211221","216617","224965","224832","242560","259509","264282","253121","255102","257191","234119","208239","233403","194685","234387",
"Men+Women","March","Total","Composition Rate[%]","%","8.5","9","8","8","8.2","8.1","8.6","8.3","8.3","8.5","8.6","8.8","8.7","8.9","8.4","8","9","7.3","8.4",
"Men+Women","March","Korean Red Cross","Donation Count","Unit","189109","202401","163145","181270","202757","203786","210051","211661","224651","242209","246694","234834","236278","241362","220402","190012","218080","180237","214106",
"Men+Women","March","Korean Red Cross","Composition Rate[%]","%","8.5","9","8","8","8.2","8.1","8.6","8.3","8.3","8.5","8.6","8.9","8.7","9","8.4","7.8","9","7.4","8.4",
"Men+Women","March","Central Seoul","Donation Count","Unit","18205","20431","15791","17183","17357","17600","","","","","","","","24965","21413","16287","18848","15751","19452",
"Men+Women","March","Central Seoul","Composition Rate[%]","%","8.6","9.2","8.4","8.3","8.3","7","","","","","","","","9.4","8.5","7.3","8.7","7","8.3",
"Men+Women","March","Western Seoul","Donation Count","Unit","11245","12681","12345","13580","17654","14522","22714","23809","24224","28646","27806","27372","24201","","","","","","",
"Men+Women","March","Western Seoul","Composition Rate[%]","%","8.4","9.1","8","7.9","8.5","16.2","8.4","8.4","8","8.6","8.4","9.4","8.7","","","","","","",
"Men+Women","March","Southern Seoul","Donation Count","Unit","15110","18006","13957","15752","15950","17064","18444","18606","19069","19852","18908","19009","21340","21216","18033","16852","15559","13111","16600",
"Men+Women","March","Southern Seoul","Composition Rate[%]","%","8.4","9.5","8.1","8.4","7.5","7.7","8.5","8.1","8.1","8.6","8.4","8.4","8.7","9.2","8.4","8.9","8.8","7.2","8.5",
"Men+Women","March","Eastern Seoul","Donation Count","Unit","18069","14994","13532","15975","15343","17845","21889","22376","22974","26378","26314","25242","23713","25353","21493","20318","20359","17972","23576",
"Men+Women","March","Eastern Seoul","Composition Rate[%]","%","9.2","7.5","7.4","8.1","7.9","7.2","8.3","8.1","7.8","8.4","8.8","9.2","8.5","9.1","8.3","8.8","8.8","7.5","9.2",
"Men+Women","March","Busan","Donation Count","Unit","17792","19322","14383","15875","17775","19181","20424","21009","21258","20364","22116","18838","19782","21675","18615","13713","19000","15123","16924",
"Men+Women","March","Busan","Composition Rate[%]","%","8.3","9.1","7.6","7.5","8.2","8.2","9.4","9.6","9.2","8.6","9.3","9.2","9.2","9.7","8.7","7","9.8","7.4","8.2",
"Men+Women","March","Daegu/Gyeongbook","Donation Count","Unit","16946","18376","14069","15952","18997","18356","17791","18592","19469","22759","22959","20829","21158","21305","20039","10023","20089","17707","19150",
"Men+Women","March","Daegu/Gyeongbook","Composition Rate[%]","%","8.7","9.7","8.9","8.5","8.8","8.6","8.4","8.2","8","8.6","8.8","8.8","8.8","8.7","8.6","5.1","8.9","7.9","8.3",
"Men+Women","March","Incheon","Donation Count","Unit","10984","10521","7436","9075","10979","11312","14936","14144","14773","14557","15313","13622","13973","14375","12449","13997","13448","12799","14198",
"Men+Women","March","Incheon","Composition Rate[%]","%","8.5","8.7","6.8","7.5","8.4","7.3","8.5","8.2","8.3","7.8","8.5","8.4","8.5","9.1","7.9","8.5","8.1","7.5","8",
"Men+Women","March","Ulsan","Donation Count","Unit","6244","7028","4930","4996","5795","5262","5691","6143","6921","7939","8618","7559","8257","7364","8024","6070","7388","5595","7814",
"Men+Women","March","Ulsan","Composition Rate[%]","%","7.9","8.6","7.5","7","7.8","7.1","7.7","7.8","8.5","8.9","9.2","8.7","9.6","8.5","8.8","7.4","8.8","6.4","7.9",
"Men+Women","March","Gyeonggi","Donation Count","Unit","10956","12674","9516","10760","12156","12927","14750","14596","15639","17230","18431","18119","18517","17943","16794","17506","19519","16833","18891",
"Men+Women","March","Gyeonggi","Composition Rate[%]","%","7.9","8.9","7.4","7.6","7.4","7.5","8.4","8.3","8.2","8.4","8.4","8.8","8.8","8.8","8","7.7","8.6","7.8","8.4",
"Men+Women","March","Gangwon","Donation Count","Unit","7189","8223","5474","6027","7064","6843","7434","9579","10155","10632","12757","12811","13186","14366","13466","12486","13104","9774","11552",
"Men+Women","March","Gangwon","Composition Rate[%]","%","8.6","10.7","8.5","8.2","8.9","8.2","8.1","8.8","8.4","8.3","8.5","8.5","8.5","8.9","8.8","8.9","9.8","7.8","8.7",
"Men+Women","March","Chungbook","Donation Count","Unit","6841","7057","6340","6819","8263","8329","8392","8125","8858","8515","8739","7466","8211","8731","8077","7319","8128","6075","7569",
"Men+Women","March","Chungbook","Composition Rate[%]","%","8.8","8.9","8.7","8","8.3","8.2","9.2","8.1","9","8.5","8.8","8.4","8.6","9.3","8.6","8.5","9.6","7.2","8.9",
"Men+Women","March","Daejeon/Sejong/Chungnaam","Donation Count","Unit","15720","13583","12375","14221","15569","15595","16766","16590","19258","20992","21340","21075","21142","21392","20164","17421","22177","17396","21288",
"Men+Women","March","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","9.7","9.2","8.4","8.2","8.5","8.1","8.8","8","8.6","9","8.6","8.9","8.8","8.6","8.1","7.3","9.5","7.3","9.1",
"Men+Women","March","Jeonbook","Donation Count","Unit","9793","11062","8666","8835","10664","10335","11633","10378","12027","10412","9730","10202","8716","9234","9620","8226","8700","6928","8485",
"Men+Women","March","Jeonbook","Composition Rate[%]","%","8.1","9.3","8.8","8.2","8.8","8.3","9.3","8.1","9.2","8.3","7.5","8.8","7.6","8.5","8.8","8","8.5","7.1","8.5",
"Men+Women","March","Gwangju/Jeonnaam","Donation Count","Unit","13956","15478","14560","15436","15958","15681","16595","14667","16605","18566","18120","18080","18277","18633","17448","15223","17265","13074","14757",
"Men+Women","March","Gwangju/Jeonnaam","Composition Rate[%]","%","8","7.7","8.2","7.9","7.9","7.9","8.6","7.9","8.1","8.5","8.2","8.9","8.3","9","8.4","8.3","9.3","6.9","7.8",
"Men+Women","March","Gyeongnaam","Donation Count","Unit","7568","10283","7745","8014","10291","9797","9702","10255","10638","12260","12124","11545","12309","11766","11846","11007","10898","8964","10040",
"Men+Women","March","Gyeongnaam","Composition Rate[%]","%","7.5","10","8.4","7.9","9","8.2","8.5","8.5","7.9","8.6","8.9","9","9.4","8.7","8.9","8.4","8.7","7.3","7.8",
"Men+Women","March","Jeju","Donation Count","Unit","2491","2682","2026","2770","2942","3137","2890","2792","2783","3107","3419","3065","3496","3044","2921","3564","3598","3135","3810",
